date,EmployeeID,status
6/17/2025,EMP0136,Absent
6/18/2025,EMP0137,Present
6/19/2025,EMP0138,Present
6/20/2025,EMP0139,Present
6/21/2025,EMP0140,Absent
6/22/2025,EMP0141,Present
6/23/2025,EMP0142,Present
6/24/2025,EMP0143,Absent
6/25/2025,EMP0144,Present
6/26/2025,EMP0145,Present
6/27/2025,EMP0146,Absent
6/28/2025,EMP0147,Absent
6/29/2025,EMP0148,Present
6/30/2025,EMP0149,Absent
7/1/2025,EMP0150,Present
7/2/2025,EMP0151,Present
7/3/2025,EMP0152,Absent
7/4/2025,EMP0153,Present
7/5/2025,EMP0154,Present
7/6/2025,EMP0155,Absent
7/7/2025,EMP0156,Present
7/8/2025,EMP0157,Present
7/9/2025,EMP0158,Present
7/10/2025,EMP0159,Present
7/11/2025,EMP0160,Present
7/12/2025,EMP0161,Present
7/13/2025,EMP0162,Present
7/14/2025,EMP0163,Present
7/15/2025,EMP0164,Absent
7/16/2025,EMP0165,Present
7/17/2025,EMP0166,Present
7/18/2025,EMP0167,Present
7/19/2025,EMP0168,Present
7/20/2025,EMP0169,Absent
7/21/2025,EMP0170,Absent
7/22/2025,EMP0171,Present
7/23/2025,EMP0172,Present
7/24/2025,EMP0173,Present
7/25/2025,EMP0174,Absent
7/26/2025,EMP0175,Present
7/27/2025,EMP0176,Present
7/28/2025,EMP0177,Present
7/29/2025,EMP0178,Present
7/30/2025,EMP0179,Present
7/31/2025,EMP0180,Present
8/1/2025,EMP0181,Present
8/2/2025,EMP0182,Present
8/3/2025,EMP0183,Present
8/4/2025,EMP0184,Absent
8/5/2025,EMP0185,Absent
8/6/2025,EMP0186,Present
8/7/2025,EMP0187,Present
8/8/2025,EMP0188,Present
8/9/2025,EMP0189,Present
8/10/2025,EMP0190,Present
8/11/2025,EMP0191,Present
8/12/2025,EMP0192,Absent
8/13/2025,EMP0193,Present
8/14/2025,EMP0194,Absent
8/15/2025,EMP0195,Present
8/16/2025,EMP0196,Present
8/17/2025,EMP0197,Present
8/18/2025,EMP0198,Absent
8/19/2025,EMP0199,Present
8/20/2025,EMP0200,Present
8/21/2025,EMP0201,Present
8/22/2025,EMP0202,Absent
8/23/2025,EMP0203,Present
8/24/2025,EMP0204,Present
8/25/2025,EMP0205,Absent
8/26/2025,EMP0206,Present
8/27/2025,EMP0207,Present
8/28/2025,EMP0208,Present
8/29/2025,EMP0209,Present
8/30/2025,EMP0210,Present
8/31/2025,EMP0211,Present
9/1/2025,EMP0212,Absent
9/2/2025,EMP0213,Present
9/3/2025,EMP0214,Present
9/4/2025,EMP0215,Present
9/5/2025,EMP0216,Present
9/6/2025,EMP0217,Absent
9/7/2025,EMP0218,Present
9/8/2025,EMP0219,Present
9/9/2025,EMP0220,Present
9/10/2025,EMP0221,Present
9/11/2025,EMP0222,Present
9/12/2025,EMP0223,Present
9/13/2025,EMP0224,Present
9/14/2025,EMP0225,Present
9/15/2025,EMP0226,Present
9/16/2025,EMP0227,Present
9/17/2025,EMP0228,Present
9/18/2025,EMP0229,Present
9/19/2025,EMP0230,Present
9/20/2025,EMP0231,Present
9/21/2025,EMP0232,Absent
9/22/2025,EMP0233,Present
9/23/2025,EMP0234,Present
9/24/2025,EMP0235,Present
9/25/2025,EMP0236,Present
9/26/2025,EMP0237,Present
9/27/2025,EMP0238,Present
9/28/2025,EMP0239,Absent
9/29/2025,EMP0240,Present
9/30/2025,EMP0241,Absent
10/1/2025,EMP0242,Present
10/2/2025,EMP0243,Present
10/3/2025,EMP0244,Present
10/4/2025,EMP0245,Present
10/5/2025,EMP0246,Absent
10/6/2025,EMP0247,Present
10/7/2025,EMP0248,Present
10/8/2025,EMP0249,Present
10/9/2025,EMP0250,Present
10/10/2025,EMP0251,Present
10/11/2025,EMP0252,Present
10/12/2025,EMP0253,Present
10/13/2025,EMP0254,Present
10/14/2025,EMP0255,Present
10/15/2025,EMP0256,Present
10/16/2025,EMP0257,Present
10/17/2025,EMP0258,Present
10/18/2025,EMP0259,Present
10/19/2025,EMP0260,Present
10/20/2025,EMP0261,Absent
10/21/2025,EMP0262,Present
10/22/2025,EMP0263,Present
10/23/2025,EMP0264,Present
10/24/2025,EMP0265,Present
10/25/2025,EMP0266,Present
10/26/2025,EMP0267,Present
10/27/2025,EMP0268,Present
10/28/2025,EMP0269,Present
10/29/2025,EMP0270,Present
10/30/2025,EMP0271,Present
10/31/2025,EMP0272,Present
11/1/2025,EMP0273,Present
11/2/2025,EMP0274,Present
11/3/2025,EMP0275,Present
11/4/2025,EMP0276,Present
11/5/2025,EMP0277,Present
11/6/2025,EMP0278,Present
11/7/2025,EMP0279,Absent
11/8/2025,EMP0280,Absent
11/9/2025,EMP0281,Present
11/10/2025,EMP0282,Present
11/11/2025,EMP0283,Present
11/12/2025,EMP0284,Present
11/13/2025,EMP0285,Present
11/14/2025,EMP0286,Present
11/15/2025,EMP0287,Present
11/16/2025,EMP0288,Present
11/17/2025,EMP0289,Absent
11/18/2025,EMP0290,Present
11/19/2025,EMP0291,Absent
11/20/2025,EMP0292,Present
11/21/2025,EMP0293,Present
11/22/2025,EMP0294,Absent
11/23/2025,EMP0295,Present
11/24/2025,EMP0296,Absent
11/25/2025,EMP0297,Present
11/26/2025,EMP0298,Present
11/27/2025,EMP0299,Present
11/28/2025,EMP0300,Present
11/29/2025,EMP0301,Present
11/30/2025,EMP0302,Present
12/1/2025,EMP0303,Present
12/2/2025,EMP0304,Present
12/3/2025,EMP0305,Absent
12/4/2025,EMP0306,Present
12/5/2025,EMP0307,Present
12/6/2025,EMP0308,Present
12/7/2025,EMP0309,Present
12/8/2025,EMP0310,Present
12/9/2025,EMP0311,Absent
12/10/2025,EMP0312,Absent
12/11/2025,EMP0313,Present
12/12/2025,EMP0314,Present
12/13/2025,EMP0315,Present
12/14/2025,EMP0316,Present
12/15/2025,EMP0317,Absent
12/16/2025,EMP0318,Present
12/17/2025,EMP0319,Present
12/18/2025,EMP0320,Present
12/19/2025,EMP0321,Present
12/20/2025,EMP0322,Absent
12/21/2025,EMP0323,Absent
12/22/2025,EMP0324,Present
12/23/2025,EMP0325,Present
12/24/2025,EMP0326,Present
12/25/2025,EMP0327,Present
12/26/2025,EMP0328,Present
12/27/2025,EMP0329,Present
12/28/2025,EMP0330,Absent
12/29/2025,EMP0331,Absent
12/30/2025,EMP0332,Present
12/31/2025,EMP0333,Present
1/1/2026,EMP0334,Absent
1/2/2026,EMP0335,Present
1/3/2026,EMP0336,Present
1/4/2026,EMP0337,Present
1/5/2026,EMP0338,Present
1/6/2026,EMP0339,Present
1/7/2026,EMP0340,Present
1/8/2026,EMP0341,Present
1/9/2026,EMP0342,Present
1/10/2026,EMP0343,Present
1/11/2026,EMP0344,Present
1/12/2026,EMP0345,Present
1/13/2026,EMP0346,Present
1/14/2026,EMP0347,Present
1/15/2026,EMP0348,Present
1/16/2026,EMP0349,Present
1/17/2026,EMP0350,Present
1/18/2026,EMP0351,Present
1/19/2026,EMP0352,Present
1/20/2026,EMP0353,Present
1/21/2026,EMP0354,Present
1/22/2026,EMP0355,Present
1/23/2026,EMP0356,Present
1/24/2026,EMP0357,Present
1/25/2026,EMP0358,Present
1/26/2026,EMP0359,Present
1/27/2026,EMP0360,Present
1/28/2026,EMP0361,Present
1/29/2026,EMP0362,Present
1/30/2026,EMP0363,Present
1/31/2026,EMP0364,Absent
2/1/2026,EMP0365,Present
2/2/2026,EMP0366,Absent
2/3/2026,EMP0367,Present
2/4/2026,EMP0368,Present
2/5/2026,EMP0369,Present
2/6/2026,EMP0370,Present
2/7/2026,EMP0371,Absent
2/8/2026,EMP0372,Present
2/9/2026,EMP0373,Absent
2/10/2026,EMP0374,Present
2/11/2026,EMP0375,Present
2/12/2026,EMP0376,Present
2/13/2026,EMP0377,Present
2/14/2026,EMP0378,Present
2/15/2026,EMP0379,Present
2/16/2026,EMP0380,Present
2/17/2026,EMP0381,Present
2/18/2026,EMP0382,Present
2/19/2026,EMP0383,Present
2/20/2026,EMP0384,Present
2/21/2026,EMP0385,Present
2/22/2026,EMP0386,Absent
2/23/2026,EMP0387,Absent
2/24/2026,EMP0388,Present
2/25/2026,EMP0389,Present
2/26/2026,EMP0390,Present
2/27/2026,EMP0391,Present
2/28/2026,EMP0392,Present
3/1/2026,EMP0393,Absent
3/2/2026,EMP0394,Absent
3/3/2026,EMP0395,Present
3/4/2026,EMP0396,Present
3/5/2026,EMP0397,Present
3/6/2026,EMP0398,Absent
3/7/2026,EMP0399,Present
3/8/2026,EMP0400,Present
3/9/2026,EMP0401,Present
3/10/2026,EMP0402,Present
3/11/2026,EMP0403,Present
3/12/2026,EMP0404,Present
3/13/2026,EMP0405,Present
3/14/2026,EMP0406,Absent
3/15/2026,EMP0407,Present
3/16/2026,EMP0408,Present
3/17/2026,EMP0409,Absent
3/18/2026,EMP0410,Present
3/19/2026,EMP0411,Present
3/20/2026,EMP0412,Present
3/21/2026,EMP0413,Present
3/22/2026,EMP0414,Present
3/23/2026,EMP0415,Present
3/24/2026,EMP0416,Present
3/25/2026,EMP0417,Present
3/26/2026,EMP0418,Present
3/27/2026,EMP0419,Present
3/28/2026,EMP0420,Present
3/29/2026,EMP0421,Present
3/30/2026,EMP0422,Present
3/31/2026,EMP0423,Present
4/1/2026,EMP0424,Absent
4/2/2026,EMP0425,Present
4/3/2026,EMP0426,Present
4/4/2026,EMP0427,Present
4/5/2026,EMP0428,Present
4/6/2026,EMP0429,Absent
4/7/2026,EMP0430,Present
4/8/2026,EMP0431,Present
4/9/2026,EMP0432,Present
4/10/2026,EMP0433,Present
4/11/2026,EMP0434,Absent
4/12/2026,EMP0435,Present
4/13/2026,EMP0436,Present
4/14/2026,EMP0437,Present
4/15/2026,EMP0438,Present
4/16/2026,EMP0439,Absent
4/17/2026,EMP0440,Present
4/18/2026,EMP0441,Absent
4/19/2026,EMP0442,Absent
4/20/2026,EMP0443,Present
4/21/2026,EMP0444,Present
4/22/2026,EMP0445,Absent
4/23/2026,EMP0446,Present
4/24/2026,EMP0447,Present
4/25/2026,EMP0448,Present
4/26/2026,EMP0449,Present
4/27/2026,EMP0450,Present
4/28/2026,EMP0451,Present
4/29/2026,EMP0452,Present
4/30/2026,EMP0453,Present
5/1/2026,EMP0454,Present
5/2/2026,EMP0455,Present
5/3/2026,EMP0456,Present
5/4/2026,EMP0457,Present
5/5/2026,EMP0458,Absent
5/6/2026,EMP0459,Present
5/7/2026,EMP0460,Present
5/8/2026,EMP0461,Absent
5/9/2026,EMP0462,Present
5/10/2026,EMP0463,Absent
5/11/2026,EMP0464,Present
5/12/2026,EMP0465,Present
5/13/2026,EMP0466,Present
5/14/2026,EMP0467,Present
5/15/2026,EMP0468,Present
5/16/2026,EMP0469,Present
5/17/2026,EMP0470,Present
5/18/2026,EMP0471,Present
5/19/2026,EMP0472,Present
5/20/2026,EMP0473,Present
5/21/2026,EMP0474,Absent
5/22/2026,EMP0475,Present
5/23/2026,EMP0476,Present
5/24/2026,EMP0477,Present
5/25/2026,EMP0478,Present
5/26/2026,EMP0479,Present
5/27/2026,EMP0480,Present
5/28/2026,EMP0481,Present
5/29/2026,EMP0482,Present
5/30/2026,EMP0483,Present
5/31/2026,EMP0484,Absent
6/1/2026,EMP0485,Present
6/2/2026,EMP0486,Present
6/3/2026,EMP0487,Present
6/4/2026,EMP0488,Present
6/5/2026,EMP0489,Present
6/6/2026,EMP0490,Present
6/7/2026,EMP0491,Present
6/8/2026,EMP0492,Present
6/9/2026,EMP0493,Present
6/10/2026,EMP0494,Absent
6/11/2026,EMP0495,Present
6/12/2026,EMP0496,Present
6/13/2026,EMP0497,Absent
6/14/2026,EMP0498,Present
6/15/2026,EMP0499,Present
6/16/2026,EMP0500,Absent
6/17/2026,EMP0501,Present
6/18/2026,EMP0502,Present
6/19/2026,EMP0503,Present
6/20/2026,EMP0504,Present
6/21/2026,EMP0505,Absent
6/22/2026,EMP0506,Present
6/23/2026,EMP0507,Absent
6/24/2026,EMP0508,Present
6/25/2026,EMP0509,Present
6/26/2026,EMP0510,Present
6/27/2026,EMP0511,Present
6/28/2026,EMP0512,Present
6/29/2026,EMP0513,Absent
6/30/2026,EMP0514,Present
7/1/2026,EMP0515,Present
7/2/2026,EMP0516,Present
7/3/2026,EMP0517,Present
7/4/2026,EMP0518,Present
7/5/2026,EMP0519,Present
7/6/2026,EMP0520,Present
7/7/2026,EMP0521,Present
7/8/2026,EMP0522,Present
7/9/2026,EMP0523,Present
7/10/2026,EMP0524,Present
7/11/2026,EMP0525,Present
7/12/2026,EMP0526,Present
7/13/2026,EMP0527,Absent
7/14/2026,EMP0528,Present
7/15/2026,EMP0529,Present
7/16/2026,EMP0530,Present
7/17/2026,EMP0531,Absent
7/18/2026,EMP0532,Present
7/19/2026,EMP0533,Present
7/20/2026,EMP0534,Present
7/21/2026,EMP0535,Present
7/22/2026,EMP0536,Absent
7/23/2026,EMP0537,Present
7/24/2026,EMP0538,Present
7/25/2026,EMP0539,Absent
7/26/2026,EMP0540,Present
7/27/2026,EMP0541,Absent
7/28/2026,EMP0542,Present
7/29/2026,EMP0543,Present
7/30/2026,EMP0544,Present
7/31/2026,EMP0545,Present
8/1/2026,EMP0546,Present
8/2/2026,EMP0547,Present
8/3/2026,EMP0548,Present
8/4/2026,EMP0549,Present
8/5/2026,EMP0550,Present
8/6/2026,EMP0551,Present
8/7/2026,EMP0552,Present
8/8/2026,EMP0553,Present
8/9/2026,EMP0554,Present
8/10/2026,EMP0555,Present
8/11/2026,EMP0556,Present
8/12/2026,EMP0557,Present
8/13/2026,EMP0558,Present
8/14/2026,EMP0559,Present
8/15/2026,EMP0560,Absent
8/16/2026,EMP0561,Present
8/17/2026,EMP0562,Present
8/18/2026,EMP0563,Present
8/19/2026,EMP0564,Present
8/20/2026,EMP0565,Present
8/21/2026,EMP0566,Absent
8/22/2026,EMP0567,Absent
8/23/2026,EMP0568,Present
8/24/2026,EMP0569,Present
8/25/2026,EMP0570,Present
8/26/2026,EMP0571,Present
8/27/2026,EMP0572,Present
8/28/2026,EMP0573,Present
8/29/2026,EMP0574,Present
8/30/2026,EMP0575,Present
8/31/2026,EMP0576,Present
9/1/2026,EMP0577,Absent
9/2/2026,EMP0578,Present
9/3/2026,EMP0579,Present
9/4/2026,EMP0580,Present
9/5/2026,EMP0581,Absent
9/6/2026,EMP0582,Present
9/7/2026,EMP0583,Present
9/8/2026,EMP0584,Present
9/9/2026,EMP0585,Absent
9/10/2026,EMP0586,Absent
9/11/2026,EMP0587,Absent
9/12/2026,EMP0588,Present
9/13/2026,EMP0589,Absent
9/14/2026,EMP0590,Present
9/15/2026,EMP0591,Absent
9/16/2026,EMP0592,Present
9/17/2026,EMP0593,Present
9/18/2026,EMP0594,Present
9/19/2026,EMP0595,Present
9/20/2026,EMP0596,Present
9/21/2026,EMP0597,Present
9/22/2026,EMP0598,Absent
9/23/2026,EMP0599,Present
9/24/2026,EMP0600,Present
9/25/2026,EMP0601,Present
9/26/2026,EMP0602,Present
9/27/2026,EMP0603,Present
9/28/2026,EMP0604,Present
9/29/2026,EMP0605,Present
9/30/2026,EMP0606,Present
10/1/2026,EMP0607,Present
10/2/2026,EMP0608,Absent
10/3/2026,EMP0609,Present
10/4/2026,EMP0610,Present
10/5/2026,EMP0611,Present
10/6/2026,EMP0612,Present
10/7/2026,EMP0613,Present
10/8/2026,EMP0614,Present
10/9/2026,EMP0615,Present
10/10/2026,EMP0616,Present
10/11/2026,EMP0617,Present
10/12/2026,EMP0618,Present
10/13/2026,EMP0619,Present
10/14/2026,EMP0620,Present
10/15/2026,EMP0621,Present
10/16/2026,EMP0622,Present
10/17/2026,EMP0623,Present
10/18/2026,EMP0624,Present
10/19/2026,EMP0625,Present
10/20/2026,EMP0626,Present
10/21/2026,EMP0627,Present
10/22/2026,EMP0628,Absent
10/23/2026,EMP0629,Absent
10/24/2026,EMP0630,Absent
10/25/2026,EMP0631,Absent
10/26/2026,EMP0632,Present
10/27/2026,EMP0633,Present
10/28/2026,EMP0634,Present
10/29/2026,EMP0635,Present
10/30/2026,EMP0636,Absent
10/31/2026,EMP0637,Present
11/1/2026,EMP0638,Present
11/2/2026,EMP0639,Present
11/3/2026,EMP0640,Present
11/4/2026,EMP0641,Present
11/5/2026,EMP0642,Present
11/6/2026,EMP0643,Present
11/7/2026,EMP0644,Present
11/8/2026,EMP0645,Present
11/9/2026,EMP0646,Present
11/10/2026,EMP0647,Absent
11/11/2026,EMP0648,Present
11/12/2026,EMP0649,Present
11/13/2026,EMP0650,Present
11/14/2026,EMP0651,Present
11/15/2026,EMP0652,Present
11/16/2026,EMP0653,Present
11/17/2026,EMP0654,Present
11/18/2026,EMP0655,Present
11/19/2026,EMP0656,Present
11/20/2026,EMP0657,Present
11/21/2026,EMP0658,Present
11/22/2026,EMP0659,Present
11/23/2026,EMP0660,Present
11/24/2026,EMP0661,Present
11/25/2026,EMP0662,Present
11/26/2026,EMP0663,Absent
11/27/2026,EMP0664,Present
11/28/2026,EMP0665,Present
11/29/2026,EMP0666,Present
11/30/2026,EMP0667,Present
12/1/2026,EMP0668,Present
12/2/2026,EMP0669,Present
12/3/2026,EMP0670,Present
12/4/2026,EMP0671,Present
12/5/2026,EMP0672,Present
12/6/2026,EMP0673,Present
12/7/2026,EMP0674,Present
12/8/2026,EMP0675,Present
12/9/2026,EMP0676,Absent
12/10/2026,EMP0677,Present
12/11/2026,EMP0678,Present
12/12/2026,EMP0679,Present
12/13/2026,EMP0680,Present
12/14/2026,EMP0681,Present
12/15/2026,EMP0682,Present
12/16/2026,EMP0683,Present
12/17/2026,EMP0684,Present
12/18/2026,EMP0685,Present
12/19/2026,EMP0686,Present
12/20/2026,EMP0687,Present
12/21/2026,EMP0688,Absent
12/22/2026,EMP0689,Present
12/23/2026,EMP0690,Present
12/24/2026,EMP0691,Present
12/25/2026,EMP0692,Present
12/26/2026,EMP0693,Present
12/27/2026,EMP0694,Present
12/28/2026,EMP0695,Present
12/29/2026,EMP0696,Present
12/30/2026,EMP0697,Present
12/31/2026,EMP0698,Present
1/1/2027,EMP0699,Present
1/2/2027,EMP0700,Present
1/3/2027,EMP0701,Present
1/4/2027,EMP0702,Present
1/5/2027,EMP0703,Present
1/6/2027,EMP0704,Absent
1/7/2027,EMP0705,Present
1/8/2027,EMP0706,Present
1/9/2027,EMP0707,Present
1/10/2027,EMP0708,Present
1/11/2027,EMP0709,Present
1/12/2027,EMP0710,Present
1/13/2027,EMP0711,Present
1/14/2027,EMP0712,Present
1/15/2027,EMP0713,Present
1/16/2027,EMP0714,Present
1/17/2027,EMP0715,Present
1/18/2027,EMP0716,Absent
1/19/2027,EMP0717,Present
1/20/2027,EMP0718,Present
1/21/2027,EMP0719,Absent
1/22/2027,EMP0720,Absent
1/23/2027,EMP0721,Present
1/24/2027,EMP0722,Present
1/25/2027,EMP0723,Present
1/26/2027,EMP0724,Absent
1/27/2027,EMP0725,Present
1/28/2027,EMP0726,Present
1/29/2027,EMP0727,Present
1/30/2027,EMP0728,Present
1/31/2027,EMP0729,Present
2/1/2027,EMP0730,Present
2/2/2027,EMP0731,Present
2/3/2027,EMP0732,Present
2/4/2027,EMP0733,Present
2/5/2027,EMP0734,Present
2/6/2027,EMP0735,Present
2/7/2027,EMP0736,Present
2/8/2027,EMP0737,Present
2/9/2027,EMP0738,Present
2/10/2027,EMP0739,Present
2/11/2027,EMP0740,Present
2/12/2027,EMP0741,Absent
2/13/2027,EMP0742,Present
2/14/2027,EMP0743,Absent
2/15/2027,EMP0744,Present
2/16/2027,EMP0745,Present
2/17/2027,EMP0746,Present
2/18/2027,EMP0747,Present
2/19/2027,EMP0748,Present
2/20/2027,EMP0749,Present
2/21/2027,EMP0750,Present
2/22/2027,EMP0751,Present
2/23/2027,EMP0752,Present
2/24/2027,EMP0753,Present
2/25/2027,EMP0754,Present
2/26/2027,EMP0755,Present
2/27/2027,EMP0756,Present
2/28/2027,EMP0757,Present
3/1/2027,EMP0758,Present
3/2/2027,EMP0759,Absent
3/3/2027,EMP0760,Present
3/4/2027,EMP0761,Present
3/5/2027,EMP0762,Present
3/6/2027,EMP0763,Present
3/7/2027,EMP0764,Present
3/8/2027,EMP0765,Present
3/9/2027,EMP0766,Present
3/10/2027,EMP0767,Present
3/11/2027,EMP0768,Present
3/12/2027,EMP0769,Absent
3/13/2027,EMP0770,Present
3/14/2027,EMP0771,Present
3/15/2027,EMP0772,Present
3/16/2027,EMP0773,Present
3/17/2027,EMP0774,Present
3/18/2027,EMP0775,Present
3/19/2027,EMP0776,Present
3/20/2027,EMP0777,Present
3/21/2027,EMP0778,Present
3/22/2027,EMP0779,Present
3/23/2027,EMP0780,Present
3/24/2027,EMP0781,Present
3/25/2027,EMP0782,Present
3/26/2027,EMP0783,Absent
3/27/2027,EMP0784,Present
3/28/2027,EMP0785,Present
3/29/2027,EMP0786,Absent
3/30/2027,EMP0787,Present
3/31/2027,EMP0788,Present
4/1/2027,EMP0789,Present
4/2/2027,EMP0790,Present
4/3/2027,EMP0791,Present
4/4/2027,EMP0792,Present
4/5/2027,EMP0793,Present
4/6/2027,EMP0794,Present
4/7/2027,EMP0795,Present
4/8/2027,EMP0796,Absent
4/9/2027,EMP0797,Absent
4/10/2027,EMP0798,Present
4/11/2027,EMP0799,Present
4/12/2027,EMP0800,Present
4/13/2027,EMP0801,Present
4/14/2027,EMP0802,Present
4/15/2027,EMP0803,Present
4/16/2027,EMP0804,Present
4/17/2027,EMP0805,Absent
4/18/2027,EMP0806,Absent
4/19/2027,EMP0807,Present
4/20/2027,EMP0808,Present
4/21/2027,EMP0809,Absent
4/22/2027,EMP0810,Present
4/23/2027,EMP0811,Present
4/24/2027,EMP0812,Present
4/25/2027,EMP0813,Present
4/26/2027,EMP0814,Present
4/27/2027,EMP0815,Present
4/28/2027,EMP0816,Present
4/29/2027,EMP0817,Present
4/30/2027,EMP0818,Present
5/1/2027,EMP0819,Present
5/2/2027,EMP0820,Present
5/3/2027,EMP0821,Present
5/4/2027,EMP0822,Present
5/5/2027,EMP0823,Present
5/6/2027,EMP0824,Present
5/7/2027,EMP0825,Present
5/8/2027,EMP0826,Present
5/9/2027,EMP0827,Absent
5/10/2027,EMP0828,Present
5/11/2027,EMP0829,Present
5/12/2027,EMP0830,Present
5/13/2027,EMP0831,Absent
5/14/2027,EMP0832,Present
5/15/2027,EMP0833,Present
5/16/2027,EMP0834,Absent
5/17/2027,EMP0835,Absent
5/18/2027,EMP0836,Absent
5/19/2027,EMP0837,Present
5/20/2027,EMP0838,Present
5/21/2027,EMP0839,Present
5/22/2027,EMP0840,Present
5/23/2027,EMP0841,Present
5/24/2027,EMP0842,Present
5/25/2027,EMP0843,Absent
5/26/2027,EMP0844,Absent
5/27/2027,EMP0845,Absent
5/28/2027,EMP0846,Present
5/29/2027,EMP0847,Present
5/30/2027,EMP0848,Present
5/31/2027,EMP0849,Present
6/1/2027,EMP0850,Present
6/2/2027,EMP0851,Present
6/3/2027,EMP0852,Present
6/4/2027,EMP0853,Present
6/5/2027,EMP0854,Present
6/6/2027,EMP0855,Present
6/7/2027,EMP0856,Absent
6/8/2027,EMP0857,Present
6/9/2027,EMP0858,Present
6/10/2027,EMP0859,Present
6/11/2027,EMP0860,Present
6/12/2027,EMP0861,Present
6/13/2027,EMP0862,Present
6/14/2027,EMP0863,Present
